electricity_cost,billing_periods,heated_square_footage,engineered_total_square_footage,heating_degree_days,cooling_degree_days,NUMFRIG,NUMFREEZ,NUMLAPTOP,NUMTABLET,NUMSMPHONE,NUMCFAN,NUMFLOORFAN,NUMWWAC,NUMPORTAC,NUMMEAL,state_postal,BA_climate,IECC_climate_code,KOWNRENT,home_size,num_appliances,temp_hdd,temp_cdd,temp_degree_days,bill_amount,bill_per_period,month_periods,log_bill_amount
1955.06,1,2100,2100,3844,1679,2,1,1,1,2,3,3,0.0,0.0,2,NM,Mixed-Dry,4B,1,2100,15.0,3844,1679,5523,1955.06,1955.06,1,7.578176162485605
713.27,1,590,590,3766,1458,1,1,0,1,1,1,1,0.0,0.0,2,AR,Mixed-Humid,4A,2,590,8.0,3766,1458,5224,713.27,713.27,1,6.569860030359433
334.51,5,900,900,3819,1696,0,0,0,0,1,0,0,0.0,0.0,3,NM,Mixed-Dry,4B,2,900,4.0,3819,1696,5515,334.51,66.902,5,5.812666774487644
1424.86,1,2100,2100,2614,1718,2,0,1,2,2,4,0,0.0,0.0,1,SC,Mixed-Humid,3A,1,2100,12.0,2614,1718,4332,1424.86,1424.86,1,7.261828842262299
1087.0,1,800,800,4219,1363,2,0,2,0,3,0,0,0.0,0.0,2,NJ,Mixed-Humid,4A,2,800,9.0,4219,1363,5582,1087.0,1087.0,1,6.99117688712121
1895.66,1,3010,4520,901,3558,2,0,3,1,5,2,0,0.0,0.0,1,TX,Hot-Humid,2A,2,3010,14.0,901,3558,4459,1895.66,1895.66,1,7.547322341839821
1418.04,1,1200,2100,3148,2128,1,0,4,3,3,3,0,0.0,0.0,1,OK,Mixed-Humid,3A,2,1200,15.0,3148,2128,5276,1418.04,1418.04,1,7.257030915438924
1237.05,1,900,900,1825,2374,1,1,2,2,2,3,1,0.0,0.0,3,MS,Mixed-Humid,3A,2,900,15.0,1825,2374,4199,1237.05,1237.05,1,7.120484791947474
537.68,1,750,750,4233,1159,1,0,2,0,1,0,0,2.0,0.0,3,DC,Mixed-Humid,4A,2,750,9.0,4233,1159,5392,537.68,537.68,1,6.287263587661711
625.41,1,760,760,1502,3812,1,0,1,0,0,0,0,0.0,0.0,5,AZ,Hot-Dry,2B,2,760,7.0,1502,3812,5314,625.41,625.41,1,6.438407434662455
65.11,5,1630,1630,1467,2108,2,0,1,1,1,4,1,0.0,0.0,4,CA,Hot-Dry,3B,1,1630,14.0,1467,2108,3575,65.11,13.022,5,4.176078147248771
1136.61,1,1540,1540,2148,3037,1,0,2,0,2,6,0,0.0,0.0,1,TX,Hot-Dry,3B,1,1540,12.0,2148,3037,5185,1136.61,1136.61,1,7.035805426994298
1004.2,1,2000,2000,1246,2671,1,0,1,2,2,6,0,0.0,0.0,2,LA,Hot-Humid,2A,1,2000,14.0,1246,2671,3917,1004.2,1004.2,1,6.911946483600605
644.85,1,930,1450,10298,189,1,1,1,0,1,1,2,1.0,0.0,3,MN,Very-Cold,7A,1,930,11.0,10298,189,10487,644.85,644.85,1,6.4690177316104
